method,query_id,question_type,primary_category,primary_mclsf,gold_document_count,gold_chunk_count,retrieved_count,latency_ms,chunk_hit@1,chunk_hit@3,chunk_hit@5,chunk_hit@10,chunk_recall@5,chunk_recall@10,chunk_mrr,document_hit@1,document_hit@3,document_hit@5,document_hit@10,document_mrr
Chroma SVD,oy_eval_v2r_q0004,application_method,일자리,창업,1,2,10,92.18570002121851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chroma SVD,oy_eval_v2r_q0005,required_documents,일자리,재직자,1,1,10,95.99589998833835,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0015,eligibility,일자리,창업,1,2,10,87.82080002129078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0017,application_period,일자리,창업,1,1,10,88.30519998446107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0025,support_content,일자리,창업,1,1,10,82.65060000121593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0026,eligibility,일자리,취업,1,1,10,92.57450001314282,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.5
Chroma SVD,oy_eval_v2r_q0064,specific_policy_search,주거,기숙사,1,1,10,90.88859998155385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0078,support_content,교육,온라인교육,1,2,10,98.45649998169392,0.0,0.0,1.0,1.0,0.5,1.0,0.2,0.0,0.0,1.0,1.0,0.2
Chroma SVD,oy_eval_v2r_q0086,specific_policy_search,참여권리,청년참여,1,3,10,96.55320004094392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chroma SVD,oy_eval_v2r_q0090,required_documents,참여권리,청년참여,1,3,10,91.55670000473037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chroma SVD,oy_eval_v2r_q0094,application_period,참여권리,청년참여,1,2,10,95.52599996095523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0098,application_method,참여권리,청년참여,1,2,10,83.44560000114143,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
